"The sum of 1 and 1 gives as a result 2"
"The multiplication of 1 and 1 gives as a result 1"
"The division of 1 and 1 gives as a result 1"
"The sum of 1 and 10 gives as a result 11"
"The sum of 10 and 1 gives as a result 11"
"The substraction of 1 and 7 gives as a result -6"
"The sum of 8 and 1 gives as a result 9"
"The substraction of 1 and 1 gives as a result 0"
"The division of 99 and 1 gives as a result 99"
"The division of 1 and 100 gives as a result 0.01"
"The multiplication of 2 and 5 gives as a result 10"
"The sum of 3 and 5 gives as a result 8"
"The substraction of 1000 and 0 gives as a result 1000"
"The sum of 123 and 1111 gives as a result 1234"
"The sum of 0 and 0 gives as a result 0"
"The division of 77 and 13 gives as a result 5.923077"
"The division of 13 and 2 gives as a result 6.5"
"The multiplication of 15 and 5 gives as a result 75"
"The substraction of 10 and 11 gives as a result -1"
"The multiplication of 100 and 100 gives as a result 10000"
